# Output file from one.py
# pathway	length	TF	fraction	ocurrences	unknowns	other_TFs	subroute
COBALSYN-PWY	7	Nac	0.2857142857142857	2	5	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	6	Nac	0.3333333333333333	2	4	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	2	Nac	1.0	2	0	0	['COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']
COBALSYN-PWY	2	Nac	0.5	1	1	0	['COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	6	Nac	0.5	3	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	5	Nac	0.6	3	2	0	['RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	4	Nac	0.25	1	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	4	Nac	0.5	2	2	0	['RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	4	Nac	0.75	3	1	0	['RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	3	unknown	1.0	3	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	3	Nac	0.3333333333333333	1	2	0	['RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	3	Nac	1.0	3	0	0	['COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-19342', 'RXN-19338', 'RXN-19343']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	2	Nac	0.5	1	1	0	['RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	2	Nac	1.0	2	0	0	['COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	2	Nac	1.0	2	0	0	['COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	7	Nac	0.2857142857142857	2	5	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	6	Nac	0.3333333333333333	2	4	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	6	Nac	0.3333333333333333	2	4	0	['RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	4	['IclR', 'IHF', 'Cra', 'Lrp', 'CRP', 'GlcC', 'PdhR', 'Nac', 'ArcA']	0.25	1	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	4	Nac	0.5	2	2	0	['RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']
COBALSYN-PWY	4	Nac	0.5	2	2	0	['RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	4	Nac	0.5	2	2	0	['MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	3	unknown	1.0	3	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	3	['IclR', 'IHF', 'Cra', 'Lrp', 'CRP', 'GlcC', 'PdhR', 'Nac', 'ArcA']	0.3333333333333333	1	2	0	['RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	3	Nac	0.3333333333333333	1	2	0	['COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-19342', 'RXN-19338', 'RXN-19343']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-19338', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	2	['IclR', 'IHF', 'Cra', 'Lrp', 'CRP', 'GlcC', 'PdhR', 'Nac', 'ArcA']	0.5	1	1	0	['RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	2	Nac	1.0	2	0	0	['MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']
COBALSYN-PWY	2	Nac	0.5	1	1	0	['COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['COBALAMIN5PSYN-RXN', 'RXN-8770']
COBALSYN-PWY	6	Nac	0.5	3	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	5	Nac	0.6	3	2	0	['RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	4	['IclR', 'IHF', 'Cra', 'Lrp', 'CRP', 'GlcC', 'PdhR', 'Nac', 'ArcA']	0.25	1	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	4	Nac	0.5	2	2	0	['RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	4	Nac	0.75	3	1	0	['RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	3	unknown	1.0	3	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	3	['IclR', 'IHF', 'Cra', 'Lrp', 'CRP', 'GlcC', 'PdhR', 'Nac', 'ArcA']	0.3333333333333333	1	2	0	['RXN-19338', 'RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	3	Nac	1.0	3	0	0	['MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-19342', 'RXN-19338', 'RXN-19343']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-19338', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	2	['IclR', 'IHF', 'Cra', 'Lrp', 'CRP', 'GlcC', 'PdhR', 'Nac', 'ArcA']	0.5	1	1	0	['RXN-19343', 'MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	2	Nac	1.0	2	0	0	['MALSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	2	Nac	1.0	2	0	0	['COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	6	Nac	0.5	3	3	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	5	Nac	0.6	3	2	0	['COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	4	Nac	0.5	2	2	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN', 'RXN-19343']
COBALSYN-PWY	4	Nac	0.5	2	2	0	['COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	4	Nac	0.75	3	1	0	['COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	3	Nac	0.3333333333333333	1	2	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN', 'RXN-19343']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['COBINAMIDEKIN-RXN', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	2	Nac	0.5	1	1	0	['COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	2	Nac	1.0	2	0	0	['COBINPGUANYLYLTRANS-RXN', 'COBINAMIDEKIN-RXN', 'RXN-19343']
COBALSYN-PWY	2	Nac	0.5	1	1	0	['COBINAMIDEKIN-RXN', 'RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	2	['IclR', 'IHF', 'Cra', 'Lrp', 'CRP', 'GlcC', 'PdhR', 'Nac', 'ArcA']	0.5	1	1	0	['RXN-19343', 'MALSYN-RXN']
COBALSYN-PWY	6	Nac	0.5	3	3	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	5	Nac	0.6	3	2	0	['COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	4	Nac	0.5	2	2	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN', 'RXN-19343']
COBALSYN-PWY	4	Nac	0.5	2	2	0	['COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	4	Nac	0.75	3	1	0	['COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	3	Nac	0.3333333333333333	1	2	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN', 'RXN-19343']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['MALSYN-RXN', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-8770', 'COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN']
COBALSYN-PWY	2	Nac	0.5	1	1	0	['COBALAMIN5PSYN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN']
COBALSYN-PWY	2	Nac	1.0	2	0	0	['COBINPGUANYLYLTRANS-RXN', 'MALSYN-RXN', 'RXN-19343']
COBALSYN-PWY	2	['IclR', 'IHF', 'Cra', 'Lrp', 'CRP', 'GlcC', 'PdhR', 'Nac', 'ArcA']	0.5	1	1	0	['MALSYN-RXN', 'RXN-19343', 'COBINAMIDEKIN-RXN']
COBALSYN-PWY	2	Nac	0.5	1	1	0	['RXN-19343', 'COBINAMIDEKIN-RXN']
ARG+POLYAMINE-SYN	10	ArgR	0.4	4	3	3	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	9	ArgR	0.4444444444444444	4	3	2	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	9	ArgR	0.3333333333333333	3	3	3	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	8	ArgR	0.5	4	2	2	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	8	ArgR	0.375	3	3	2	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	8	['H-NS', 'PurR', 'ArgR']	0.25	2	3	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	7	ArgR	0.5714285714285714	4	1	2	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	7	ArgR	0.42857142857142855	3	2	2	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	7	['PurR', 'ArgR']	0.2857142857142857	2	3	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	7	['H-NS', 'PurR']	0.2857142857142857	2	3	0	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	6	ArgR	0.6666666666666666	4	0	2	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN']
ARG+POLYAMINE-SYN	6	ArgR	0.5	3	1	2	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	6	['PurR', 'ArgR']	0.3333333333333333	2	2	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	6	PurR	0.3333333333333333	2	3	1	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	6	['H-NS', 'PurR']	0.3333333333333333	2	3	0	['ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	5	ArgR	0.8	4	0	1	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN']
ARG+POLYAMINE-SYN	5	ArgR	0.6	3	0	2	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN']
ARG+POLYAMINE-SYN	5	['PurR', 'ArgR']	0.4	2	1	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	5	PurR	0.4	2	2	1	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	5	PurR	0.4	2	3	0	['ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	5	['OmpR', 'H-NS', 'GadX', 'Lrp', 'SoxS', 'GlaR', 'PurR', 'GadE-RcsB', 'ArcA', 'CadC']	0.2	1	3	0	['AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	4	ArgR	1.0	4	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN']
ARG+POLYAMINE-SYN	4	ArgR	0.75	3	0	1	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN']
ARG+POLYAMINE-SYN	4	['PurR', 'ArgR']	0.5	2	0	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN']
ARG+POLYAMINE-SYN	4	PurR	0.5	2	1	1	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	4	PurR	0.5	2	2	0	['ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	4	PurR	0.25	1	3	0	['AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	4	['OmpR', 'H-NS', 'GadX', 'Lrp', 'SoxS', 'GlaR', 'GadE-RcsB', 'ArcA', 'CadC']	0.25	1	3	0	['SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	3	ArgR	1.0	3	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN']
