#Created by linked_rxns.txt on Thu Oct 26 13:54:42 2023.
#This file shows pairs of reactions (shown in Ecoyc ID) that are linked in a pathway (also shown in Ecocyc ID). Whether a reaction is on column 1 or 2 holds no biological significance. Think of it in terms of a non-directed network.
pathway	reaction.1	reaction.2
FERMENTATION-PWY	PEPDEPHOS-RXN	PYRUVFORMLY-RXN
FERMENTATION-PWY	PHOSACETYLTRANS-RXN	ACETATEKIN-RXN
FERMENTATION-PWY	PYRUVFORMLY-RXN	ACETALD-DEHYDROG-RXN
FERMENTATION-PWY	PYRUVFORMLY-RXN	CITSYN-RXN
FERMENTATION-PWY	PYRUVFORMLY-RXN	FHLMULTI-RXN
FERMENTATION-PWY	PYRUVFORMLY-RXN	PHOSACETYLTRANS-RXN
FUC-RHAMCAT-PWY	FUCISOM-RXN	FUCULOKIN-RXN
FUC-RHAMCAT-PWY	FUCPALDOL-RXN	LACTALDDEHYDROG-RXN
FUC-RHAMCAT-PWY	FUCPALDOL-RXN	LACTALDREDUCT-RXN
FUC-RHAMCAT-PWY	FUCULOKIN-RXN	FUCPALDOL-RXN
FUC-RHAMCAT-PWY	LACTALDDEHYDROG-RXN	L-LACTDEHYDROGFMN-RXN
FUC-RHAMCAT-PWY	RHAMNISOM-RXN	RXN-15356
FUC-RHAMCAT-PWY	RHAMNULOKIN-RXN	RHAMNULPALDOL-RXN
FUC-RHAMCAT-PWY	RHAMNULPALDOL-RXN	LACTALDDEHYDROG-RXN
FUC-RHAMCAT-PWY	RHAMNULPALDOL-RXN	LACTALDREDUCT-RXN
FUC-RHAMCAT-PWY	RXN-15356	RHAMNULOKIN-RXN
FUC-RHAMCAT-PWY	RXN0-5298	FUCISOM-RXN
FUC-RHAMCAT-PWY	RXN0-5306	RHAMNISOM-RXN
GALACT-GLUCUROCAT-PWY	ALTRO-OXIDOREDUCT-RXN	ALTRODEHYDRAT-RXN
GALACT-GLUCUROCAT-PWY	ALTRODEHYDRAT-RXN	DEOXYGLUCONOKIN-RXN
GALACT-GLUCUROCAT-PWY	BETA-GLUCURONID-RXN	RXN-14693
GALACT-GLUCUROCAT-PWY	DEOXYGLUCONOKIN-RXN	KDPGALDOL-RXN
GALACT-GLUCUROCAT-PWY	GALACTUROISOM-RXN	ALTRO-OXIDOREDUCT-RXN
GALACT-GLUCUROCAT-PWY	GLUCUROISOM-RXN	MANNONOXIDOREDUCT-RXN
GALACT-GLUCUROCAT-PWY	MANNONDEHYDRAT-RXN	DEOXYGLUCONOKIN-RXN
GALACT-GLUCUROCAT-PWY	MANNONOXIDOREDUCT-RXN	MANNONDEHYDRAT-RXN
GALACT-GLUCUROCAT-PWY	RXN-14693	GLUCUROISOM-RXN
GLCMANNANAUT-PWY	NAG6PDEACET-RXN	GLUCOSAMINE-6-P-DEAMIN-RXN
GLCMANNANAUT-PWY	NANE-RXN	NAG6PDEACET-RXN
GLCMANNANAUT-PWY	NANK-RXN	NANE-RXN
GLCMANNANAUT-PWY	RXN0-7389	RXN0-7390
GLCMANNANAUT-PWY	RXN0-7390	NANK-RXN
GLUCARGALACTSUPER-PWY	GALACTARDEHYDRA-RXN	KDGALDOL-RXN
GLUCARGALACTSUPER-PWY	GLUCARDEHYDRA-RXN	KDGALDOL-RXN
GLUCARGALACTSUPER-PWY	KDGALDOL-RXN	TSA-REDUCT-RXN
GLUCARGALACTSUPER-PWY	TSA-REDUCT-RXN	GKI-RXN
GLUCUROCAT-PWY	BETA-GLUCURONID-RXN	RXN-14693
GLUCUROCAT-PWY	DEOXYGLUCONOKIN-RXN	KDPGALDOL-RXN
GLUCUROCAT-PWY	GLUCUROISOM-RXN	MANNONOXIDOREDUCT-RXN
GLUCUROCAT-PWY	MANNONDEHYDRAT-RXN	DEOXYGLUCONOKIN-RXN
GLUCUROCAT-PWY	MANNONOXIDOREDUCT-RXN	MANNONDEHYDRAT-RXN
GLUCUROCAT-PWY	RXN-14693	GLUCUROISOM-RXN
GLYCOL-GLYOXDEG-PWY	GLYCOLALD-DEHYDROG-RXN	RXN0-7229
GLYCOL-GLYOXDEG-PWY	GLYCOLALDREDUCT-RXN	GLYCOLALD-DEHYDROG-RXN
GLYCOL-GLYOXDEG-PWY	GLYOCARBOLIG-RXN	TSA-REDUCT-RXN
GLYCOL-GLYOXDEG-PWY	RXN0-7229	GLYOCARBOLIG-RXN
GLYCOL-GLYOXDEG-PWY	RXN0-7229	MALSYN-RXN
GLYCOL-GLYOXDEG-PWY	TSA-REDUCT-RXN	GKI-RXN
GLYCOLYSIS-E-D	2PGADEHYDRAT-RXN	PEPDEPHOS-RXN
GLYCOLYSIS-E-D	3PGAREARR-RXN	2PGADEHYDRAT-RXN
GLYCOLYSIS-E-D	6PFRUCTPHOS-RXN	F16ALDOLASE-RXN
GLYCOLYSIS-E-D	6PFRUCTPHOS-RXN	F16BDEPHOS-RXN
GLYCOLYSIS-E-D	6PGLUCONOLACT-RXN	PGLUCONDEHYDRAT-RXN
GLYCOLYSIS-E-D	F16ALDOLASE-RXN	GAPOXNPHOSPHN-RXN
GLYCOLYSIS-E-D	F16ALDOLASE-RXN	TRIOSEPISOMERIZATION-RXN
GLYCOLYSIS-E-D	F16BDEPHOS-RXN	6PFRUCTPHOS-RXN
GLYCOLYSIS-E-D	GAPOXNPHOSPHN-RXN	PHOSGLYPHOS-RXN
GLYCOLYSIS-E-D	GLU6PDEHYDROG-RXN	6PGLUCONOLACT-RXN
GLYCOLYSIS-E-D	KDPGALDOL-RXN	GAPOXNPHOSPHN-RXN
GLYCOLYSIS-E-D	PEPDEPHOS-RXN	PEPSYNTH-RXN
GLYCOLYSIS-E-D	PEPSYNTH-RXN	PEPDEPHOS-RXN
GLYCOLYSIS-E-D	PGLUCISOM-RXN	6PFRUCTPHOS-RXN
GLYCOLYSIS-E-D	PGLUCONDEHYDRAT-RXN	KDPGALDOL-RXN
GLYCOLYSIS-E-D	PHOSGLYPHOS-RXN	3PGAREARR-RXN
GLYCOLYSIS-E-D	PHOSGLYPHOS-RXN	RXN-15513
GLYCOLYSIS-E-D	RXN-15513	2PGADEHYDRAT-RXN
GLYCOLYSIS-E-D	TRANS-RXN-157	PGLUCISOM-RXN
GLYCOLYSIS-E-D	TRIOSEPISOMERIZATION-RXN	GAPOXNPHOSPHN-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	2OXOGLUTARATEDEH-RXN	SUCCCOASYN-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	2PGADEHYDRAT-RXN	PEPDEPHOS-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	3PGAREARR-RXN	2PGADEHYDRAT-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	6PFRUCTPHOS-RXN	F16ALDOLASE-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	6PFRUCTPHOS-RXN	F16BDEPHOS-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	ACONITATEDEHYDR-RXN	ACONITATEHYDR-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	ACONITATEHYDR-RXN	ISOCIT-CLEAV-RXN
